City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,codrington,-38.2667,141.9667,29.51,41,0,3.54,AU,1711760693
324,tejen,37.3834,60.5054,28.373,28,0,2.39,TM,1711760693
325,polyarnyy,69.1989,33.4478,26.155,100,99,1.93,RU,1711760693
326,moanda,-1.5575,13.2178,29.572000000000003,97,100,0.71,GA,1711760693
327,tiptree,51.8126,0.7489,28.113999999999997,85,46,3.12,GB,1711760694
328,xinmin,41.9908,122.8253,27.661,21,0,9.16,CN,1711760694
329,tindouf,27.6711,-8.1474,28.580000000000002,67,0,7.63,DZ,1711760694
330,macon,39.8667,-88.9668,29.201,66,100,7.37,US,1711760564
331,galliano,29.4422,-90.2992,29.214999999999996,59,0,1.54,US,1711760695
332,sale,34.0389,-6.8166,28.552999999999997,87,75,8.23,MA,1711760695
333,newman,37.3138,-121.0208,28.608999999999998,89,100,2.24,US,1711760594
334,kristiansund,63.1115,7.732,27.951,70,100,1.03,NO,1711760695
335,bayanhongor,46.7167,100.1167,26.448,81,68,1.41,MN,1711760696
336,murzuq,25.9155,13.9184,29.406,24,0,5.57,LY,1711760601
337,iquitos,-3.7481,-73.2472,29.717000000000002,94,100,1.54,PE,1711760696
338,dabola,10.75,-11.1167,30.267000000000003,28,84,1.38,GN,1711760696
339,churapcha,62.0025,132.4325,25.502000000000002,84,86,2.87,RU,1711760696
340,turpan,42.9333,89.1667,29.312,25,100,1.04,CN,1711760697
341,mount gambier,-37.8333,140.7667,29.707,34,0,1.96,AU,1711760661
342,shakawe,-18.3667,21.85,29.358999999999998,79,100,1.55,BW,1711760548
343,rockport,28.0206,-97.0544,29.537,76,0,6.17,US,1711760697
344,mount isa,-20.7333,139.5,30.101999999999997,78,100,5.66,AU,1711760698
345,barclayville,4.6797,-8.2339,30.0,90,41,1.23,LR,1711760698
